example_id,threshold,question,reference_answers,baseline_answer,primary_candidate,final_answer_or_effective_answer,normalized_reference_answers,normalized_final_answer,correctness_label,silence_flag,false_silence_flag,self_check_label,contradiction_label,semantic_agreement_score,drift,coherence,instability_v1,risk_v2,risk_v2_1,risk_v2_2,self_check_no_override_applied,decision_v1,decision_v2,decision_v2_1,decision_v2_2,effective_decision
q001,0.34999999999999998,In which city does the government of France sit?,"[""Paris""]","The government of France is located in Paris, the capital city of France.","The government of France is located in Paris, the capital city of France.","The government of France is located in Paris, the capital city of France.","[""paris""]",the government of france is located in paris the capital city of france,correct,False,False,YES,STRONG_CHALLENGE,1.0,0.0,0.6917144638660747,0.15414276806696264,,0.3462428304200888,0.3462428304200888,False,PROCEED,,PROCEED,PROCEED,PROCEED
q001,0.39000000000000001,In which city does the government of France sit?,"[""Paris""]","The government of France is located in Paris, the capital city of France.","The government of France is located in Paris, the capital city of France.","The government of France is located in Paris, the capital city of France.","[""paris""]",the government of france is located in paris the capital city of france,correct,False,False,YES,STRONG_CHALLENGE,1.0,0.0,0.6917144638660747,0.15414276806696264,,0.3462428304200888,0.3462428304200888,False,PROCEED,,PROCEED,PROCEED,PROCEED
q001,0.41999999999999998,In which city does the government of France sit?,"[""Paris""]","The government of France is located in Paris, the capital city of France.","The government of France is located in Paris, the capital city of France.","The government of France is located in Paris, the capital city of France.","[""paris""]",the government of france is located in paris the capital city of france,correct,False,False,YES,STRONG_CHALLENGE,1.0,0.0,0.6917144638660747,0.15414276806696264,,0.3462428304200888,0.3462428304200888,False,PROCEED,,PROCEED,PROCEED,PROCEED
q001,0.42999999999999999,In which city does the government of France sit?,"[""Paris""]","The government of France is located in Paris, the capital city of France.","The government of France is located in Paris, the capital city of France.","The government of France is located in Paris, the capital city of France.","[""paris""]",the government of france is located in paris the capital city of france,correct,False,False,YES,STRONG_CHALLENGE,1.0,0.0,0.6917144638660747,0.15414276806696264,,0.3462428304200888,0.3462428304200888,False,PROCEED,,PROCEED,PROCEED,PROCEED
q002,0.34999999999999998,Name the capital city of Japan.,"[""Tokyo""]",The capital city of Japan is Tokyo.,The capital city of Japan is Tokyo.,The capital city of Japan is Tokyo.,"[""tokyo""]",the capital city of japan is tokyo,correct,False,False,YES,NO_CONTRADICTION,1.0,0.0,0.6172133998483678,0.19139330007581612,,0.057417990022744836,0.057417990022744836,False,PROCEED,,PROCEED,PROCEED,PROCEED
q002,0.39000000000000001,Name the capital city of Japan.,"[""Tokyo""]",The capital city of Japan is Tokyo.,The capital city of Japan is Tokyo.,The capital city of Japan is Tokyo.,"[""tokyo""]",the capital city of japan is tokyo,correct,False,False,YES,NO_CONTRADICTION,1.0,0.0,0.6172133998483678,0.19139330007581612,,0.057417990022744836,0.057417990022744836,False,PROCEED,,PROCEED,PROCEED,PROCEED
q002,0.41999999999999998,Name the capital city of Japan.,"[""Tokyo""]",The capital city of Japan is Tokyo.,The capital city of Japan is Tokyo.,The capital city of Japan is Tokyo.,"[""tokyo""]",the capital city of japan is tokyo,correct,False,False,YES,NO_CONTRADICTION,1.0,0.0,0.6172133998483678,0.19139330007581612,,0.057417990022744836,0.057417990022744836,False,PROCEED,,PROCEED,PROCEED,PROCEED
q002,0.42999999999999999,Name the capital city of Japan.,"[""Tokyo""]",The capital city of Japan is Tokyo.,The capital city of Japan is Tokyo.,The capital city of Japan is Tokyo.,"[""tokyo""]",the capital city of japan is tokyo,correct,False,False,YES,NO_CONTRADICTION,1.0,0.0,0.6172133998483678,0.19139330007581612,,0.057417990022744836,0.057417990022744836,False,PROCEED,,PROCEED,PROCEED,PROCEED
q003,0.34999999999999998,What city is the capital of Australia?,"[""Canberra""]",The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,"[""canberra""]",the capital of australia is canberra,wrong,True,True,YES,STRONG_CHALLENGE,0.8333333333333334,0.04945326681829909,0.6172133998483678,0.21611993348496567,,0.398169313378823,0.398169313378823,False,PROCEED,,SILENCE,SILENCE,SILENCE
q003,0.39000000000000001,What city is the capital of Australia?,"[""Canberra""]",The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,"[""canberra""]",the capital of australia is canberra,wrong,True,True,YES,STRONG_CHALLENGE,0.8333333333333334,0.04945326681829909,0.6172133998483678,0.21611993348496567,,0.398169313378823,0.398169313378823,False,PROCEED,,SILENCE,SILENCE,SILENCE
q003,0.41999999999999998,What city is the capital of Australia?,"[""Canberra""]",The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,"[""canberra""]",the capital of australia is canberra,correct,False,False,YES,STRONG_CHALLENGE,0.8333333333333334,0.04945326681829909,0.6172133998483678,0.21611993348496567,,0.398169313378823,0.398169313378823,False,PROCEED,,PROCEED,PROCEED,PROCEED
q003,0.42999999999999999,What city is the capital of Australia?,"[""Canberra""]",The capital of Australia is Canberra.,The capital of Australia is Canberra.,The capital of Australia is Canberra.,"[""canberra""]",the capital of australia is canberra,correct,False,False,YES,STRONG_CHALLENGE,0.8333333333333334,0.04945326681829909,0.6172133998483678,0.21611993348496567,,0.398169313378823,0.398169313378823,False,PROCEED,,PROCEED,PROCEED,PROCEED
