example_id,question,reference_answers,baseline_answer,por_candidate,por_candidates_json,por_primary_candidate,por_sample_count,por_mode,threshold,threshold_label,threshold_value,drift,coherence,instability_score,semantic_agreement_score,semantic_agreement_risk,self_check_label,self_check_risk,risk_v2,decision_v2,contradiction_label,contradiction_risk,risk_v2_1,decision_v2_1,self_check_no_penalty,self_check_no_override_applied,risk_v2_2,decision_v2_2,effective_decision,por_decision,final_output,correctness_label,silence_flag,false_silence_flag,accepted_error_flag,error
q001,In which city does the government of France sit?,"[""Paris""]","The government of France is located in Paris, the capital city of France.","The government of France is located in Paris, the capital city of France.","[""The government of France is located in Paris, the capital city of France.""]","The government of France is located in Paris, the capital city of France.",1,v2_1,,baseline,,,,,,,,,,,,,,,,,,,PROCEED,PROCEED,"The government of France is located in Paris, the capital city of France.",correct,False,False,False,
q001,In which city does the government of France sit?,"[""Paris""]","The government of France is located in Paris, the capital city of France.","The government of France is located in Paris, the capital city of France.","[""The government of France is located in Paris, the capital city of France."", ""The government of France is located in Paris, the capital city of France."", ""The government of France is located in Paris, the capital city of France.""]","The government of France is located in Paris, the capital city of France.",3,v2_1,0.34999999999999998,0.34999999999999998,0.35,0.0,0.6917144638660747,0.15414276806696264,1.0,0.0,YES,0.0,,,STRONG_CHALLENGE,1.0,0.3462428304200888,PROCEED,,,,,PROCEED,PROCEED,"The government of France is located in Paris, the capital city of France.",correct,False,False,False,
q001,In which city does the government of France sit?,"[""Paris""]","The government of France is located in Paris, the capital city of France.","The government of France is located in Paris, the capital city of France.","[""The government of France is located in Paris, the capital city of France."", ""The government of France is located in Paris, the capital city of France."", ""The government of France is located in Paris, the capital city of France.""]","The government of France is located in Paris, the capital city of France.",3,v2_1,0.39000000000000001,0.39000000000000001,0.39,0.0,0.6917144638660747,0.15414276806696264,1.0,0.0,YES,0.0,,,STRONG_CHALLENGE,1.0,0.3462428304200888,PROCEED,,,,,PROCEED,PROCEED,"The government of France is located in Paris, the capital city of France.",correct,False,False,False,
q001,In which city does the government of France sit?,"[""Paris""]","The government of France is located in Paris, the capital city of France.","The government of France is located in Paris, the capital city of France.","[""The government of France is located in Paris, the capital city of France."", ""The government of France is located in Paris, the capital city of France."", ""The government of France is located in Paris, the capital city of France.""]","The government of France is located in Paris, the capital city of France.",3,v2_1,0.41999999999999998,0.41999999999999998,0.42,0.0,0.6917144638660747,0.15414276806696264,1.0,0.0,YES,0.0,,,STRONG_CHALLENGE,1.0,0.3462428304200888,PROCEED,,,,,PROCEED,PROCEED,"The government of France is located in Paris, the capital city of France.",correct,False,False,False,
q001,In which city does the government of France sit?,"[""Paris""]","The government of France is located in Paris, the capital city of France.","The government of France is located in Paris, the capital city of France.","[""The government of France is located in Paris, the capital city of France."", ""The government of France is located in Paris, the capital city of France."", ""The government of France is located in Paris, the capital city of France.""]","The government of France is located in Paris, the capital city of France.",3,v2_1,0.42999999999999999,0.42999999999999999,0.43,0.0,0.6917144638660747,0.15414276806696264,1.0,0.0,YES,0.0,,,STRONG_CHALLENGE,1.0,0.3462428304200888,PROCEED,,,,,PROCEED,PROCEED,"The government of France is located in Paris, the capital city of France.",correct,False,False,False,
q002,Name the capital city of Japan.,"[""Tokyo""]",The capital city of Japan is Tokyo.,The capital city of Japan is Tokyo.,"[""The capital city of Japan is Tokyo.""]",The capital city of Japan is Tokyo.,1,v2_1,,baseline,,,,,,,,,,,,,,,,,,,PROCEED,PROCEED,The capital city of Japan is Tokyo.,correct,False,False,False,
q002,Name the capital city of Japan.,"[""Tokyo""]",The capital city of Japan is Tokyo.,The capital city of Japan is Tokyo.,"[""The capital city of Japan is Tokyo."", ""The capital city of Japan is Tokyo."", ""The capital city of Japan is Tokyo.""]",The capital city of Japan is Tokyo.,3,v2_1,0.34999999999999998,0.34999999999999998,0.35,0.0,0.6172133998483678,0.19139330007581612,1.0,0.0,YES,0.0,,,NO_CONTRADICTION,0.0,0.057417990022744836,PROCEED,,,,,PROCEED,PROCEED,The capital city of Japan is Tokyo.,correct,False,False,False,
q002,Name the capital city of Japan.,"[""Tokyo""]",The capital city of Japan is Tokyo.,The capital city of Japan is Tokyo.,"[""The capital city of Japan is Tokyo."", ""The capital city of Japan is Tokyo."", ""The capital city of Japan is Tokyo.""]",The capital city of Japan is Tokyo.,3,v2_1,0.39000000000000001,0.39000000000000001,0.39,0.0,0.6172133998483678,0.19139330007581612,1.0,0.0,YES,0.0,,,NO_CONTRADICTION,0.0,0.057417990022744836,PROCEED,,,,,PROCEED,PROCEED,The capital city of Japan is Tokyo.,correct,False,False,False,
q002,Name the capital city of Japan.,"[""Tokyo""]",The capital city of Japan is Tokyo.,The capital city of Japan is Tokyo.,"[""The capital city of Japan is Tokyo."", ""The capital city of Japan is Tokyo."", ""The capital city of Japan is Tokyo.""]",The capital city of Japan is Tokyo.,3,v2_1,0.41999999999999998,0.41999999999999998,0.42,0.0,0.6172133998483678,0.19139330007581612,1.0,0.0,YES,0.0,,,NO_CONTRADICTION,0.0,0.057417990022744836,PROCEED,,,,,PROCEED,PROCEED,The capital city of Japan is Tokyo.,correct,False,False,False,
q002,Name the capital city of Japan.,"[""Tokyo""]",The capital city of Japan is Tokyo.,The capital city of Japan is Tokyo.,"[""The capital city of Japan is Tokyo."", ""The capital city of Japan is Tokyo."", ""The capital city of Japan is Tokyo.""]",The capital city of Japan is Tokyo.,3,v2_1,0.42999999999999999,0.42999999999999999,0.43,0.0,0.6172133998483678,0.19139330007581612,1.0,0.0,YES,0.0,,,NO_CONTRADICTION,0.0,0.057417990022744836,PROCEED,,,,,PROCEED,PROCEED,The capital city of Japan is Tokyo.,correct,False,False,False,
